ID,review,label
88,jab ke inho ne test mein aur one day mein bhi hat ricks ki hain,Positive
89,lahore qalandars very good,Positive
90,karachi me aashura k mauqay per mukammal aman raha,Positive
91,jab un ko he esmbly may lana hai tu hindustan say pakistan bananay ka kia mathlab howard,Negative
92,mashalla allha pak slamat rakhy ameen ameen,Positive
93,dushmn 😂🙌,Negative
94,zalzly se mutsera district nazim k apny u c me koi pursan e hal ni,Negative
95,imran khan nay kaha kay in ki zindagi aur karachi mein tehrek e insaf kay karkun ki zindagi khatra lahaq hai khun kay britannia hukumat nay muttahida qaumi movement kay london mein muqeem quaid altaf hussain kay khalaf qadam nahi uthaya jis say ye log shair ho kar tashadut ki karwai kar saktey hain,Negative
96,sher aa nhe raha agya hy lahore ne ilzam aur gaali ki siasat mustrad kr di maryam nawaz,Negative
97,lannat ko ese insan pe,Negative
98,baita yai lov tu ny wrong side lga lia😂😂😂,Negative
99,sonal chauhanne telugu film industry se umeedein wabasta kerty huey legend naami film sign ker li hai jis ki aksbandi in dino tezi ke saath ho rahi hai jab ke anthony de soza ne bharti film blue ke sequel asman mein akshay kumar katreena kaif zahid khansunjay duttlara dutta aur john abraham ke saath ehm role mein cast kiya hai,Positive
100,jaan nikal di yaar,Negative
101,buhat acha hai yeh item me use karunga,Positive
102,tmhare lye best haekrle shadi,Positive
103,walid se in ki qurbat aur wabistagi bohat gehri thi,Positive
104,jab film walon ne iqbal bano ki classical awaaz suni to in se rujoo kiya aur film ke liye gaane ki baqaida dawat di,Positive
105,aitmaad na karo,Negative
106,majboriyun ka sahara le kr chor jany waly aksar bewafa hoty hain,Negative
107,october mein unhain uno mein pakistani wafad ka quaid bana ker bhaja gai to zulfiqar ali bhutto nay russia aur america ki taraf say takhfife aslaha ki tajaweez kay silsilay mein pakistani moqif bohot khubsurti say pesh kiya,Positive
108,boht he aala,Positive
109,saudi company ne arab me national power construction corporation khareed li steel mills aur pia ki nijkari bhi hogi hukomat,Negative
110,bahawalpur mein bhi ahmed faraz fun aur shakhsiyat ke unwaan se phd ka maqala tehreer kiya gaya,Positive
111,sada muskaraty rhn g,Positive
112,abay saloo ya hota ha scha piyer,Positive
113,apne career ke mustaqbil ka faisla wo taleem mukammal hone ke bad he karega,Positive
114,bilkulzindagee k achay sathee mai yahi hna chhahiyayikhlasimaan,Positive
115,love lq uncondtionly,Positive
116,siyasi samaji aur iblaaghi halqon ki janib se miss haseena wajid ko yeh mashwara diya ja raha hai ke wo apna zehni muaaiyna karaey kyun ke jis qisam ki siyasi inteqami policy inho ne apna rakhi hai wo kisi bhi soorat mien mulk o qaum ke mafaad mien nahi hai,Negative
117,sohrab goth mein ka bais saala shaks intaqal kar giya,Negative
118,good,Positive
119,maa shaa allah tasbih khane ky wazif lajawb ha,Positive
120,koi issue nai bhale mera cup use karen 🤣 beta meri bottle b har koi use karta hai,Positive
121,walikum as salam besahak ap ko bhi jumma mubarak,Positive
122,this is your eid,Positive
123,nai nai acha lag rha h pic lo in see phr ami je se pocho,Positive
124,khusre ko band karo fori ye bohat chawl ha,Negative
125,faiz ahmed faiz ka inteqal november ko lahore mein hua,Negative
126,tujy tu ya pata nae ho gy ky sajdo ky darmya ky par ty hain ya ajj wo be dkh ly ! !,Negative
127,acha tell me yeh itnay baray baray jalsay jokarta hai woh pesa kahan sey ata hi zakkat khata hai yeh gareebon ki hospital ko jo milti hai,Negative
128,eman or amaal wali zindge k liye duaon ki darkhast hy,Positive
129,aik interview mein inho ne kaha tha mujhe shohrat nahi gumnami chahiye,Positive
130,kia bat hai g apki,Positive
131,hum kaam se gaye thy phir kaam se gaye,Positive
132,physical appearance pe comment krne se guraiz kren,Negative
133,agar ap muslem hyn to ap ko khud pata ho ga k kahan bandna h ghar muslim mazaq hi urain gy in ki samj sy uopar h,Negative
134,jis ke bad film bus stop mein in ki dramatic acting ko naqadon ne bohat saraha aur marilyn golden globe award ke liye nominate hui,Positive
135,in belts ki quality behtar thi mjhe inki quality se koi shikayat nahi hai achi munasib quality hain in belts ki aur size b sahi aya hai main is se tw mutmaeen hoon aur koi complain nahi mjhe is se roz use b kar rha hoon,Positive
136,you are not kamyaaab abhi 😂,Negative
137,ya mere rab tu bra kreem hy is mulk k halat pr reham frma is watneaziz ki hifazat frmaamin,Positive
138,sirf saal ki umer mein mein bengal qanoonsaaz council ke member bane aur apne auhdon par faiyz reh kar aap ne musalmano ke mafadaat aur huqooq ki khatir kisi na kisi satah par zaroor kaam kiya,Positive
139,sharam to a rahi ho ge😂😂😂,Negative
140,khan family ne squash per taweel hukumat ki hai aur yeh kahna baja hoga ke unhon ne squash ki tareekh ko apne haton se likah hai,Positive
141,allah kray doctor afia sadiqi pakistan aye refrendom ho aor doctor afia sadiqiwazeer a azam bnay ameen,Positive
142,haniya khan,Positive
143,aj kal hmri govt esi ha k inki wja sy educated log byrozgar bethy hain,Negative
144,pyaar hai voh,Positive
145,tym nikal k milologo ko judge krna h😅,Negative
146,khi me aaj rat baje se motorcycle ki double sawari per din k lye pabandi hogi,Negative
147,sindh main teer nay mokhalifin ko chalni kardia,Negative
148,allah lambi zindagi or sehat ata farmaye,Positive
149,bari e koi chwl orat ho tum 😂😂😂😂,Negative
150,guzishta saal december tak naye stadiums ki tameer aur purane medanon ki tazeen o araish ke leye brazil football assosiation aur brazilian hukumat ne billion dollor ke akhrajat ka takhmina lagaya tha,Positive
151,lala is great man and lion,Positive
152,allah hamain hajj ki sadat ata kary ameen,Positive
153,hahaha bilkul perfect naqsha khencha,Positive
154,ye ilzam hau muj masoom pe :(,Negative
155,bilkul inshaallah beshk allah har chez pe qadeer hain ap yakeen se tobha krain wohi to hain muaf krne waly,Positive
156,saanp ka kaam zahar ugalna hi hai,Negative
157,masha allah huma huma ap pyare,Positive
158,dr asim ki university or hospital ka record talab ker lia,Negative
159,allah pak janatul firdus main alla maqam day ameen,Positive
160,mashi mushkilat ne un ke khandan ko ghere mein le liya tha,Negative
161,mein parvez musharraf ki aamriyat ke afriyat ne farzand jamhoriyat ke samne mou phara daraya dhamkaya mukhtalif bahanon se rah e rast se hatane ki koshish ki,Negative
162,hum khud ko bhool bethay tujhe yaad krte krte,Negative
163,main nevan mera murshid ucha,Positive
164,allah ya allah madad,Positive
165,g new type ka drama hai,Positive
166,ye muqtada to nehayat he chawal kisam ka insan lgta hje,Negative
167,aap ki yehi salahiyat mein aap ko islamia college ke magazine �eee€�eeecrescent�eee€�eee ka naib mudeer banwane meinmadadgar sabit hoi,Positive
168,hazarat sab salam dua m yad rakhyiga,Positive
169,allah pak tasbeeh khane ko qyamat tak abad rakheameen,Positive
170,aap ko phir buhat ghussa ayya k ye jo teacher party hai wo bachoon ko ghalat ratte marne ki training de rahe hain,Negative
171,bohat khub,Positive
172,lol thank you so much,Positive
173,inshallah hum dono kaamyaab rhen apne naik iraadon mein😂😂😍tune tou shiad dhond liya😂😂🤔ya abhi bhi talaash jaari😂😑,Positive
174,jitna zoor laga loo result hi ho ga tum loog azmay howay jawarri hoo,Positive
175,fabiha ki overactng check kro jaise sbse pakeza h 😜,Negative
176,kaash hum b parhay likhay hotaykabhi likhtay gulbadankabhi likhtay gulfeezan,Negative
177,nawab zehri balochistan ke aainda wazir e ahla honge tawaqu hai nawab zehri blochistan me amn ke qiyam ko yaqini banainge,Positive
178,pakistan team mein hone wali baghawaton ka zikar karen to baat gol kar jayen ge,Positive
179,mein hukumat e pakistan ne un ki ala fani khidmaat ke atiraf mein unhen pride of performance ke award se nawaza,Positive
180,wazair e dakhla din kisi ki hirast mein rahe to woh bhe her juram qabol karen ge khursheed shah,Negative
181,is leye kuch hazrat ke nazdek un ki tehrirein mazamin ke bajaye taqrir kehlane ki mustahiq hain,Positive
182,ro dil bar k roosalman peqandous mein to terrorist maray gaye hein,Negative
183,indian bollywood ko dekhny per pabandi llagaye jaye masla hollywood aur bollywood se hi shuru howa hy,Negative
184,dil k under kia hai woh allah he junta hai alzam trashi say baz rahoo yeh b eik guna hai,Negative
185,allah in ko tabha o barbad kry jo me molawes he,Negative
186,raat ko panjwani sahab k hath aik marker bhi lag gaya jis se wo sotay huway logon ki shakloon () per khakay () bana kar purlutf () hotay rahay,Positive
187,saas ny sara ilzam biya pe lga dea h k uski wja se usky bety k sth aesa hua,Negative
188,ghazi mumtaz ko shaheed krny waly jannati hain kia,Negative
189,achay size ka fridge hai kamre mein bara acha lagta hai aur iskay dual temperature mechanism bhee pasand aaya freezer mein jamaa de cheezon ko aur fridge mien achee cooling maintain kare aur yeh to energy efficient bhee hai :),Positive
190,allah salamat rrakhy,Positive
191,pakistan ki team ki coaching to wo saal hasaal karte rahe lekin seasons mein intikhab alam ne bharati punjab team ki coaching ki,Positive
192,maha pura gaana hai tum ko pasand aiga,Positive
193,jab un ka jism mila to tab bhi un ki gun un ke sene se lagi hoi thi,Positive
194,bohat mazy ka yr mode fresh ho jata h,Positive
195,qsmyyy ghunny maisny 😂😂😂,Negative
196,ye wo mard e mujahid hy es time govt ki traf sy pabandi ti net cafe open rakny ki or ye time namaz taraveh ka ta bsss rs bhai jaan ko gussa aya or akar sab ki wart laga d,Negative
197,itni khubiya,Positive
198,ye ni dikhana chaye thadanial zafar bc,Negative
199,laila tul jaiza mubarik,Positive
200,unho ne haji sir abdullah haroon ke sath mil kar sindh ki bombay se alehdgi ke liye kaam kiya,Positive
201,saal baad jab apki job achi hogi larkiyon k rishtay ayein gy czns k par ap bahir kru gy,Positive
202,allah rehm kre behn per,Positive
203,mashaallah sada geo,Positive
204,iss tehreek ki kamyabi par inhein aur sathiyon ko kai bar tashadud ka nishana banaya gaya aur paband slasal kiya gaya,Negative
205,agr din bhi compaign kr lety to ap ne jeet jana tha bro,Positive
206,bas mujhe yehi darr tha ke kya main is role ko kar paonga,Negative
207,buhat acha laga mein again use karunga,Positive
208,hamain bas karna chahiyelogo ke dm aarahe hai ke binzi ko rolna band karo,Negative
209,allah in ko lambi zindagi dy,Positive
210,mehdi hassan ka geet “ranjish hi sahi dil hi dukhane ke leye aa” aur “ ik sitam aur meri jan abhi jan baqi hai” aaj bhi suniye to dil udas ho jata hai,Negative
211,margyi ok,Negative
212,tum na paida hti to kya hta mra,Positive
213,purani subzi mandi main pti ji aur mqm kay mabain tasadam rangers jaye waqua per pohanch gayi,Negative
214,aap ki zuban aap ki shkhsiyat aur khandan ka pta deti hai,Negative
215,edhi center mein se qaim shudah jhula project ka charge bhi unhon ne bakhubi sanbhala,Positive
216,or pathar khaya tou agay wada bhi kiya ke pani dega sabko,Negative
217,yani hum dono kamyab hain 🤣🤣,Positive
218,bohat ehtajaj krengy,Negative
219,g miss wohi hai same to same,Negative
220,bakwas jo dakhnay mai hai wesi bilkul nahi main ne khud lee hai lahore k address pay deliver hoi hai aor farig presented,Negative
221,nafs k khilaf jihad karna jihad e akbar hai,Positive
222,jessey aap tu islam k bohot barey aalam hain log aap se fatwa leney aatey hain,Negative
223,kisi ne shayad sach he kaha hai… “ iqtedar ki kursi par gond laga hota hai… ”,Negative
224,"kia me itni buri hun k tum mug se ""asrati"" piar karo",Negative
225,dekhlo ye mzaq nahi,Negative
226,k apni maa k qadmo k nishan dhondh raha ho,Positive
227,:p nai to kya aap ne unhay dartu samjha ha jo safe guard se hath dho k peechay par gay ho us k :d,Negative
228,k is kuuti k bache ki qeemat bs ak seat thi iska tu naak b kutte jesa shakal b kutte jesi aur kertot b kutte jese,Negative
229,aj toh hud he ho gyi na mtlb,Negative
230,best candidate koa nhn mil rahaa aap kea workers koa nhn aap kea pti keaa tickes bhi chooron koa lootoon koa mil rhea hean,Negative
231,husband k sath rhenay ki dua kar dain please,Positive
232,september mein salman khan ko us waqat shaded tanqed ka samna karna para jab unhon ne mumabi hamla case ke bare mein aik interview mein ye kaha ke is mamle par itna shor is leye machaya ja raha hai ke is bar hamla ashrafiya par howa aur five star hotels ko nishana banaya gaya,Negative
233,agr ap bhi syasat karny lagy ho to log mayous hojaengy,Negative
234,mari baitiyon k naik naseeb k lia dua kerien,Positive
235,usey bhi report kaeu pemra par,Negative
236,reporter bari khubsurat thi agar munh na kholti,Negative
237,master inayat hussain ne ghair filmi ghazalen aur geet bhi compose kiye jin mein inayat hussain bhatti munawar sultana malka e pukhrajdilshad begum aur malka e mosiqi roshan aara begum ne awaza ka jadu jagaya,Positive
238,o biju ke oulad,Negative
239,naughty boy! bhalla corruption karre chup kar k ye gande kam kyun karta hei!,Negative
240,phupo ko thanks bolin meri trf sy bht bht 😂😂😂😂😂😂😂,Positive
241,jo aurat gair mard par apni zinat zaahir karne ke liye daman ghasite,Negative
242,saal ki umer mein inho ne french language aur piano bajane ki classes mein admission le liya tha,Positive
243,ye dekh kr mjhe tu kyun yaad ayi 😂😂,Negative
244,inshala sir hm aen gy,Positive
245,hazrat ji dua kijiyeinamulhasan,Positive
246,hindustan ke mukhtalif alaqon mein na sirf pakistan ke naam se tanzemein qaim huein balke “pakistan” ke naam se akhbarat o jaraed bhi jari kiya gaya,Positive
247,jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,Positive
248,ap deen ko pakistan ki ismbli ma nai bacha saky or hindo tu hin kafir allah imaan da in ko jin ka pora molk muslim hin uno na kya kr leya,Negative
249,y kinza naam ki kuriyan esii hi hotii hen bhooti choose hoe amb wargii ho phir b attitude satwen asmaan pe,Negative
250,stop sahir bakwas show,Negative
251,antiii bhaii full gussy m h,Negative
252,hum miss rubina ko chkma dia krty thy : d,Negative
253,ajeb sanjidgi ory bri be his se lrki hn,Negative
254,he bewaqof,Negative
255,douaun ki iltaja hy,Positive
256,meri trf se tere liye,Positive
257,hukumat ne sugar mil malikan ko qematein kam karne par majbor nahi kiya balke neb ne tehqiqat karana chahi to sadar perviz musharaf ke humum par ise bhi rok deya gaya kyun ke is mein ba asar hukumati ehalkar mulavis the aur wazirati kursiyon par barjaman the,Negative
258,bas galat vote na daal dena mulk ka sawal ha,Positive
259,actress laila ne kuch arsey qabal lahore mien aik comedy serial ke pilot mien hissa liya magar wo dobara shuru na ho saka,Negative
260,thank you for your support,Positive
261,har fankar ko create ya recreate kana parta hai,Positive
262,farhan ap or bhi aisa hi dramas ma kam kerya,Positive
263,awwlaaa asees ma ny pehly audio suni thi alhamra ma ub video b bht achay,Positive
264,hahah pitwaye ga kia,Negative
265,dikhaty kuch hn or send kuch or krty hn,Negative
266,baari ap to famous ho gai hain ♥,Positive
267,main samajhta hunk e khilariyon ko pia ya mukhtalif banks aur degar idaron mein mulazimat mile to phir squash ka kheel aur tezi se taraqi kare ga,Positive
268,january mein hazara market ke bomb blast edhi razakaar shaheed zakhmi hue jab ke edhi ambulance mukammal taur par tabah ho gai,Negative
269,jani par jo unho nay samjhaya wo to men samjhny bhe nhn aya :p,Negative
270,hahah waqi patwario mein koi aql nhi,Negative
271,jacket ki quality achi nahi hai,Negative
272,infinite tmhai bara araha tha na,Negative
273,seriouslydrmussadiq iqbal to hain hi greatbaki eye walo k lye to ye video bani hai,Positive
274,tujhy to koi btany wala ii nae,Negative
275,sony say phly shukr adda kya kro hunhhh kbi ghror nae kya hum ny,Negative
276,in sub qawaneen ki khilaf warziyan tu imran roxana karta rehta hay,Negative
277,na koi tmhy mot dy skta hy amp na koi tmhra rizq km kr skta hy,Positive
278,ramzan ma rizak wa ezafa ka wazifa bta dain jo jaladi kam krna wala ho,Positive
279,good drama subse acha kaam kinza ne kya h uski acting yadgar rahi gilove kinza,Positive
280,ap aap sahi kaam ni kr rhi ha,Negative
281,high court ne altaf hussain k khelaf ghaddari k muqadmay k indraj k liye full bench tashkil day diya,Positive
282,un k vote elag hony chahiay,Negative
283,yaar yaha raat ho rhi hai aur kal subha nao bajhay se pehlay kaalij ja na hai to mein yahan puri raat nahi baat sakta 😆 baaral bohoot hi accha kyaal hai he ye khaas tor par hum ko faida hai jo yorup mein rehtay hai aur urdu bolnay ka mauka mila ga to hum sekh saktay hai aapas se inshallah aur aise cheesay kar na chaiye hai to pakistan ki tehzeeb taraqi karay,Positive
284,ye bandi bara kamal ke acting karte hain jis kerdar me hoti hain jaan dal dete hain,Positive
285,"""veet miss pakistan"" ko b band kerwao",Negative
286,marusi siast ghulam ibne ghulam ki new type,Negative
287,apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr 😒😊,Positive
288,malala yousafzai ne pakistan ke foji jawanon se appeal ki ke agar humare foji bhai humein tahafoz farahum karein to hum larkiyan apni darsgahon ko ja sakti hain,Positive
289,i think shah mehmood qureshi ki wjja sen ko ticket ni mila,Negative
290,huma aap khubsuret hain lke u,Positive
291,saeed anwar match winning innings khelne ki pori salahiyat rakhte the,Positive
292,dariya e kabul me selaab ka khatra,Negative
293,pakistan k by ghairat lentil hukmran,Negative
294,pr is ki ghair mojudgi tmam chezon ko be zaika bna deti hy,Negative
295,ayaz sadiq k bad siddiq b out n league ka teenon halqon,Positive
296,kia kia ni krti he larkeya ufffffffff toba,Negative
297,aby jahail logo ye islamabad ha,Negative
298,awam nay inpar do martaba aitamad kartay hoye inhain muntakhab kia,Positive
299,gilgit me tamam taleemi idarey band rahengy,Negative
300,he has helped my knowledge of islam a great deal allah bless him always would love more free lectures uploaded on youtube,Positive
301,allah aap kee hifazat karey aameen,Positive
302,insay bara koi chor hai he nahe or ye pti walay behas kartye he rahye gye,Negative
303,main ne imran ko bataya tha ke jab mere walid jogging ke liye jaya karte the to wo har din meri waldah ke liye phool laate the,Positive
304,blkul ghlay koi jahil log he jnhe ye nai pta k ks janwr ko kis trah zibah krty hen or ye ount to mje murda lg rha tha zra sa b nhi hila,Negative
305,koi bhi film sign karne se pehle tamam pehloun ka jaiyza longa sirf aik film ke liye barson ka image to kharab nahi kar sakta,Positive
306,begarat ka bacha,Negative
307,yahan tak ke helen keller ke tajasus ki tasqeen ke liye miss salon ne helen ki hatheli par ande se choza nikalne ka aamal tak mukamal karaya,Positive
308,major muhammad akram shaheed ko may ko “hili” ke muqam par fire kar deya gaya,Negative
309,wo logon ke sath khilwar nahi karte,Positive
310,lion of pakistan love u lala,Positive
311,shukar hai phli baar suchi bt ki tuny,Positive
312,match ka maza aa gya tha,Positive
313,awami press club malir ka din soug ka elaan,Negative
314,mera khayal tha k yeh bohat khaufzada karne wala tajurba ho ga aur main ne yeh bat imran se bhi kit hi,Negative
315,esko bahduri nashanay bazi ma mahrat kah rd ay ha aur insani jan ka itna bara risk ni lana chaheya gharor to khuda ko bi pasand ni ha dakh k afsos huwa agar nasha chok jata to,Negative
316,ly hahaha sath e abu p ilzaam,Negative
317,tu laakh chale ri gori tham tham k& film gumnaam ke is geet ke bad aik aur maqbool tareen geet iqbal bano ki awaaz se jawidaan hua,Positive
318,sir farhad ka paper bs na puchoo,Negative
319,mukhtasir dauraniye ki cricket mein shahid afridi ki aalmi maqboliyat ka aik sabot guzishta dino us waqt saamne aaya jab bangladesh premier league mein sab se barhi boli inhi ke liye di gai,Positive
320,saray morning shows bann honay chahiye,Negative
321,allah meri behan ko ulad ata kary ameen,Positive
322,billo g ap sohni bohat h,Positive
323,desigen nahi soch badly,Positive
324,tumari nai ho sakti tum marti bhot ho shadi k baad b maar do gi,Negative
325,or thora sa samjh lo siyasat phir baat karo,Negative
326,parhy likhy jahil*,Negative
327,khamoosh warna tm bhi is fitny sy bach na pao gy 😂,Negative
328,allah nazia ko jannat ka allaw muqaam atta farmaey,Positive
329,asar wazeefay k sath insan k yaqeen me bhi hota hai,Positive
330,lanat you dont have proper batsman thats the issue,Negative
331,ameen han sana no extravagence,Positive
332,maa sadko,Positive
333,in ki shuru ke salon ki gaeyki tasawwuf ke peyghamat se bharpor rahi,Positive
334,great,Positive
335,allah karay mjy b yakeen oar dehaan vali tasbeeh naseeb ho jayay jo idr parhain oar udr asar hohazrat duaown ke darkhawst hai kch masail hain aafiyat k saath hal ho jayain oar amaal ka yakeen oar pabandi naseeb ho jayay,Positive
336,ye wohi bat hogai k shareef wo jise mauqa nahi mila :p :d,Negative
337,haron choti gari waly side hoja lolz,Negative
338,allah pak ap ko lambi aur barkat wali zindgi atta farmay ameen summa ameen,Positive
339,wah behtareen ho buhoth khub haseen or nayab ho,Positive
340,lanat is kanjar py,Negative
341,shahbaz sharif nay dhai saal kay doran aqraba perwari aur sifarish kay khilaf bhi numaya karkardagi dekhaya,Positive
342,kitni dafa assambly main saal main gae jo awam k bill pas karnay ki baat kar rahe ho,Negative
343,pointer pointer hota hai usko jitna marzi dereference kro kch ni hota : pagal pagal hota hai usko or jitna marzi pagal kro kch ni hota :d,Negative
344,khail ka talent un mein shooru se hi maujood tha aur achchey khelaryon mein shoomar keye jate they,Positive
345,ghar ko aag lagay gee ghar k charaag say,Negative
346,banda kahay sir pe rakh kar naacho sarak ko ley kar jo nawaz sharif ne banai hai,Negative
347,allah sab ki duain qabol farmain,Positive
348,ghulam ishaq khan jabri retirement ke bad peshwar mein gosh nashen ho gaye ow do saal musalsal bemar rahe,Negative
349,sae khel gya bc,Negative
